title,summary,category
Australian National Centre for the Public Awareness of Science,The Centre for the Public Awareness of Science is part of the Australian National University. In March 2000 it became an accredited Centre for the Australian National Commission for UNESCO.,1
Body Worlds,"Body Worlds (German title: Körperwelten) is a traveling exposition of dissected human bodies, animals, and other anatomical structures of the body that have been preserved through the process of plastination. Gunther von Hagens developed the preservation process which ""unite[s] subtle anatomy and modern polymer chemistry"", in the late 1970s.
A series of Body Worlds anatomical exhibitions has toured many countries worldwide, sometimes raising controversies about the sourcing and display of actual human corpses and body parts. Von Hagens maintains that all human specimens were obtained with full knowledge and consent of the donors before they died, but this has not been independently verified, and in 2004 von Hagens returned seven corpses to China because they showed evidence of being executed prisoners. A competing exhibition, Bodies: The Exhibition, openly sources its bodies from ""unclaimed bodies"" in China, which can include executed prisoners.In addition to temporary traveling exhibitions, permanent Body Worlds exhibits are located in Berlin, Amsterdam, Heidelberg, Guben, and San Jose (California).",1
Cell Computing,"Cell Computing was volunteer computing project that was operated by NTT Data to perform biomedical research. 
It used the Berkeley Open Infrastructure for Network Computing (BOINC) platform; however, it was initially launched using the United Devices Grid MP platform in 2002.The project ended in 2008 due to lack of popularity.",1
Clean Energy Project,The Clean Energy Project (CEP) was a virtual high-throughput discovery and design effort for the next generation of plastic solar cell materials that has finished. It studies millions of candidate structures to identify suitable compounds for the harvesting of renewable energy from the sun and for other organic electronic applications. It ran on the BOINC platform.,1
Climateprediction.net,"climateprediction.net (CPDN) is a volunteer computing project to investigate and reduce uncertainties in climate modelling. It aims to do this by running hundreds of thousands of different models (a large climate ensemble) using the donated idle time of ordinary personal computers, thereby leading to a better understanding of how models are affected by small changes in the many parameters known to influence the global climate.The project relies on the BOINC framework where voluntary participants agree to run some processes of the project at the client-side in their personal computers after receiving tasks from the server-side for treatment.
CPDN, which is run primarily by Oxford University in England, has harnessed more computing power and generated more data than any other climate modelling project. It has produced over 100 million model years of data so far. As of June 2016, there are more than 12,000 active participants from 223 countries with a total BOINC credit of more than 27 billion, reporting about 55 teraflops (55 trillion operations per second) of processing power.",1
Committee on the Public Understanding of Science,"The Committee on the Public Understanding of Science or Copus was founded in 1985 by the British Association for the Advancement of Science (BAAS), the Royal Institution and the Royal Society. Its aim was to interpret scientific advances and make them more accessible to non-scientists.
It played a part in developing the public understanding of science it establishing standards for communicating science and technology
The Copus Grant Schemes was set up in 1987 and the last round of grants was for 2003/4. The scheme was funded by the Office of Science and Technology and the Royal Society. 25 grants worth a total of over £750,000 were awarded in 2003/2004.
In 2000 The new Copus Council was formed to be a more inclusive partnership for science communication in the UK. In 2002 following a report commissioned by the Office of Science and Technology the Copus Council was discontinued.
== References ==",1
Conversazione,"A conversazione is  a ""social gathering [predominantly] held by [a] learned or art society"" for conversation and discussion, especially about the arts, literature, medicine, and  science.
It would not be easy to devise a happier way [than the conversazione] of bringing novelties at once under practical criticism—of making the outliers of science acquainted with the centre, of enabling investigators to compare operations and discuss facts and speculations, and of giving occasion for renewal of intercourse and removal of misunderstandings. …[The] tangible gain to science [from the coversazione is that] inventors and experimentalists … hear [directly] what contemporaries say of their schemes and experiments, and much can be said and done with advantage amid the free talk of a general gathering which could not be permitted in the formal meeting of a scientific society. (Nature, 5 May 1870.)",1
Cosmology@Home,"Cosmology@Home is a volunteer computing project that uses the BOINC platform and was once run at the Departments of Astronomy and Physics at the University of Illinois at Urbana-Champaign. The project has moved to the Institut Lagrange de Paris and the Institut d'Astrophysique de Paris, both of which are located in the Pierre and Marie Curie University.",1
Denialism,"In the psychology of human behavior, denialism is a person's choice to deny reality as a way to avoid a psychologically uncomfortable truth. Denialism is an essentially irrational action that withholds the validation of a historical experience or event when a person refuses to accept an empirically verifiable reality.In the sciences, denialism is the rejection of basic facts and concepts that are undisputed, well-supported parts of the scientific consensus on a subject, in favor of ideas that are radical, controversial, or fabricated. The terms Holocaust denial and AIDS denialism describe the denial of the facts and the reality of the subject matters, and the term climate change denial describes denial of the scientific consensus that the climate change of planet Earth is a real and occurring event primarily caused in geologically recent times by human activity. The forms of denialism present the common feature of the person rejecting overwhelming evidence and trying to generate political controversy in attempts to deny the existence of consensus.The motivations and causes of denialism include religion, self-interest (economic, political, or financial), and defence mechanisms meant to protect the psyche of the denialist against mentally disturbing facts and ideas; such disturbance is called cognitive dissonance in psychology terms.",1
DENIS@Home,"DENIS@home is a volunteer computing project hosted by Universidad San Jorge (Zaragoza,Spain) and running on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform.
The primary goal of DENIS@home is to compute large amounts of cardiac electrophysiological simulations.",1
DistrRTgen,"Distributed Free Rainbow Tables (or DistrRTgen) was a volunteer computing project for making rainbow tables for password cracking. By using the Berkeley Open Infrastructure for Network Computing (BOINC) software platform, DistrRTgen was able to generate rainbow tables that are able to crack long passwords. DistrRtgen was used to generate LM, NTLM, MD5 and MYSQLSHA1 rainbow tables.
All of the rainbow tables are downloadable at Free Rainbow Tables.",1
Docking@Home,"Docking@Home was a volunteer computing project hosted by the University of Delaware and running on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform.  It models protein-ligand docking using the CHARMM program. Volunteer computing allows an extensive search of protein-ligand docking conformations and selection of near-native ligand conformations are achieved by using ligand based hierarchical clustering. The ultimate aim was the development of new pharmaceutical drugs.
The project was retired on May 23, 2014.",1
Easiness effect,The easiness effect is the claim that as a result of science popularization laypeople develop an overconfident scientific understanding. This results in science-related decision-making that reflects a misunderstanding of popular science rather than the judgment of professional scientists.,1
Einstein@Home,"Einstein@Home is a volunteer computing project that searches for signals from spinning neutron stars in data from gravitational-wave detectors, from large radio telescopes, and from a gamma-ray telescope. Neutron stars are detected by their pulsed radio and gamma-ray emission as radio and/or gamma-ray pulsars. They also might be observable as continuous gravitational wave sources if they are rapidly spinning and non-axisymmetrically deformed. The project was officially launched on 19 February 2005 as part of the American Physical Society's contribution to the World Year of Physics 2005 event.Einstein@Home searches data from the LIGO gravitational-wave detectors. The project conducts the most sensitive all-sky searches for continuous gravitational waves. While no such signal has yet been detected, the upper limits set by Einstein@Home analyses provide astrophysical constraints on the Galactic population of spinning neutron stars.
Einstein@Home also searches radio telescope data from the Arecibo Observatory, and has in the past analyzed data from Parkes Observatory. On 12 August 2010, the first discovery by Einstein@Home of a previously undetected radio pulsar J2007+2722, found in data from the Arecibo Observatory, was published in Science. This was the first data-based discovery by a volunteer computing project. As of July 2022 Einstein@Home had discovered 55 radio pulsars.The project also analyses data from the Fermi Gamma-ray Space Telescope to discover gamma-ray pulsars. On 26 November 2013, the first Einstein@Home results of the Fermi data analysis was published: the discovery of four young gamma-ray pulsars in LAT data. As of July 2022, Einstein@Home has discovered 39 previously unknown gamma-ray pulsars in data from the Large Area Telescope on board the Fermi Gamma-ray Space Telescope. The Einstein@Home search makes use of novel and more efficient data-analysis methods and discovered pulsars missed in other analyses of the same data.The project runs on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform and uses free software released under the GNU General Public License, version 2. Einstein@Home is hosted by the Max Planck Institute for Gravitational Physics (Albert Einstein Institute, Hannover, Germany) and the University of Wisconsin–Milwaukee. The project is supported by the Max Planck Society (MPG), the American Physical Society (APS), and the US National Science Foundation (NSF). The Einstein@Home project director is Bruce Allen.
Einstein@Home uses the power of volunteer computing in solving the computationally intensive problem of analyzing a large volume of data. Such an approach was pioneered by the SETI@home project, which is designed to look for signs of extraterrestrial life by analyzing radio wave data. Einstein@Home runs through the same software platform as SETI@home, the Berkeley Open Infrastructure for Network Computing (BOINC). As of July 2022, more than 487,000 volunteers in 226 countries had participated in the project, making it the third-most-popular active BOINC application. Users regularly contribute about 12.7 petaFLOPS of computational power, which would rank Einstein@Home among the top 45 on the TOP500 list of supercomputers.",1
EOn,"eOn was a volunteer computing project running on the Berkeley Open Infrastructure for Network Computing (BOINC) platform, which uses theoretical chemistry techniques to solve problems in condensed matter physics and materials science.  It was a project of the Institute for Computational Engineering and Sciences at the University of Texas.
Traditional molecular dynamics can accurately model events that occur within a fraction of a millisecond.  In order to model events that take place on much longer timescales, Eon combines transition state theory with kinetic Monte Carlo.  The result is a combination of classical mechanics and quantum methods like density functional theory.
Since the generation of new work units depended on the results of previous units, the project could only give each host a few units at a time.
On May 26, 2014, it was announced that eOn would be retiring from BOINC.",1
"Ethical, Legal and Social Aspects research","The acronyms ELSI (in the United States) and ELSA (in Europe) refer to research activities that anticipate and address ethical, legal and social implications (ELSI) or aspects (ELSA) of emerging sciences, notably genomics and nanotechnology. ELSI was conceived in 1988 when James Watson, at the press conference announcing his appointment as director of the Human Genome Project (HGP), suddenly and somewhat unexpectedly declared that the ethical and social implications of genomics warranted a special effort and should be directly funded by the National Institutes of Health.",1
Ethnoscience,"Ethnoscience has been defined as an attempt ""to reconstitute what serves as science for others, their practices of looking after themselves and their bodies, their botanical knowledge, but also their forms of classification, of making connections, etc."" (Augé, 1999: 118).",1
Evolution@Home,"evolution@home was a volunteer computing project for evolutionary biology, launched in 2001. The aim of evolution@home is to improve understanding of evolutionary processes. This is achieved by simulating individual-based models. The Simulator005 module of evolution@home was designed to better predict the behaviour of Muller's ratchet.The project was operated semi-automatically; participants had to manually download tasks from the webpage and submit results by email using this method of operation. yoyo@home used a BOINC wrapper to completely automate this project by automatically distributing tasks and collecting their results. Therefore, the BOINC version was a complete volunteer computing project. yoyo@home has declared its involvement in this project finished.",1
Feminist philosophy of science,"Feminist philosophy of science is a branch of feminist philosophy that seeks to understand how the acquirement of knowledge through scientific means has been influenced by notions of gender identity and gender roles in society.  Feminist philosophers of science question how scientific research and scientific knowledge itself may be influenced and possibly compromised by the social and professional framework within which that research and knowledge is established and exists. The intersection of gender and science allows feminist philosophers to reexamine fundamental questions and truths in the field of science to reveal how gender biases may influence scientific outcomes. The feminist philosophy of science has been described as being located ""at the intersections of the philosophy of science and feminist science scholarship"" and has attracted considerable attention since the 1980s.Feminist philosophers of science use feminist epistemology as a lens through which to analyze scientific methods, results, and analysis. This epistemology emphasizes ""situated knowledge"" that hinges on one's individual perspectives on a subject; feminist philosophers often highlight the under-representation of female scientists in academia and the resulting androcentric biases that exist in science. Feminist philosophers suggest that integrating feminine modes of thought and logic that are undervalued by current scientific theory will enable improvement and broadening of scientific perspectives. Advocates assert that inclusive epistemology via applying a feminist philosophy of science will allow for a field of science that is more accessible to public. Practitioners of feminist philosophy of science also seek to promote gender equality in scientific fields and greater recognition of the achievements of female scientists.
Critics have argued that the political commitments of advocates of feminist philosophy of science is incompatible with modern-day scientific objectivity, emphasizing the success of the scientific method due to its lauded objectivity and ""value-free"" methods of knowledge-making.",1
FreeHAL,"FreeHAL was a volunteer computing project to build a self-learning chatbot. This project is no longer active.Originally, the program was called JEliza referring to the chatbot ELIZA by Joseph Weizenbaum. The J stood for Java because JEliza has first been programmed in Java. In May 2008, the program has been renamed to FreeHAL because the programming language has changed. The name is related to the computer in the film 2001: A Space Odyssey.FreeHAL uses a semantic network and technologies like pattern recognition, stemming, part of speech databases and Hidden Markov Models in order to imitate a human behaviour. FreeHAL learns autonomously. While communicating by keyboard, the program extends its database.  Currently, English and German are supported.By using the BOINC platform, new semantic networks for the program are built. FreeHAL@home appears to have terminated operations.",1
Frontiers of Science,"Frontiers of Science was an illustrated comic strip created by Professor Stuart Butler of the School of Physics at the University of Sydney in collaboration with Robert Raymond, a documentary maker from the Australian Broadcasting Corporation (ABC) in 1961. The artist was Andrea Bresciani. After 1970 the comic was illustrated by David Emerson.It explained scientific concepts and recent research and in a 3 or 4 panel illustrated strip in an accessible and easily comprehensible way. The strip was syndicated to over 200 newspapers around the world for 25 years, from 1961 to 1987. It was also published as soft cover books. As of 2011, it ""retains the record of being the longest-running newspaper science comic strip in the world.""The strips are archived at Rare Books and Special Collections in Fisher Library at the University of Sydney. The entire series is available for viewing online.",1
Funding of science,"Research funding is a term generally covering any funding for scientific research, in the areas of natural science, technology, and social science. Different methods can be used to disburse funding, but the term often connotes funding obtained through a competitive process, in which potential research projects are evaluated and only the most promising receive funding. It is often measured via Gross domestic expenditure on R&D (GERD).
Most research funding comes from two major sources: corporations (through research and development departments) and government (primarily carried out through universities and specialized government agencies; often known as research councils). A smaller amount of scientific research is funded by charitable foundations, especially in relation to developing cures for diseases such as cancer, malaria, and AIDS.
According to the Organisation for Economic Co-operation and Development (OECD), more than 60% of research and development in scientific and technical fields is carried out by industry, and 20% and 10% respectively by universities and government. Comparatively, in countries with less GDP such as Portugal and Mexico, the industry contribution is significantly lower. The government funding proportion in certain industries is higher, and it dominates research in social science and humanities. In commercial research and development, all but the most research-oriented corporations focus more heavily on near-term commercialization possibilities rather than ""blue-sky"" ideas or technologies (such as nuclear fusion).",1
Google Science Fair,"The Google Science Fair was a worldwide (excluding Cuba, Iran, North Korea, Sudan, Myanmar/Burma, Syria, Zimbabwe and any other U.S. sanctioned country) online science competition sponsored by Google, Lego, Virgin Galactic, National Geographic and Scientific American. It was an annual event spanning the years 2011 through 2018.
The first Google Science Fair was announced in January 2011; entries were due on April 7, 2011, and judging occurred in July 2011. The competition is open to 13- to 18-year-old students around the globe, who formulate a hypothesis, perform an experiment, and present their results. All students must have an internet connection and a free Google Account to participate, and the projects must be in English, German, Italian, Spanish, or French. The final submission must include ten sections, which are the summary, an ""About Me"" page, the steps of the project, and a works cited page.
Entries are judged on eight core criteria, which include the student's presentation, question, hypothesis, research, experiment, data, observations, and conclusion. Prizes are awarded to three finalists. The grand prize includes a National Geographic trip to the Galapagos Islands, and a US$50,000 scholarship; finalists will receive a US$15,000 scholarship and assorted packages from sponsoring organizations. While Larry Page and Sergey Brin were PhD students at Stanford University in California, they created Google in January 1996 as a research project; Google employee Tom Oliveri highlighted the company's early days: ""Science fairs help students to explore their vision and curiosity through science. Our company was founded on an experiment. We firmly believe that science can change the world"", he stated. As of October 28, 2019, no details for the next Google Science Fair have been released.",1
GPUGRID.net,GPUGRID is a volunteer computing project hosted by Pompeu Fabra University and running on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform. It performs full-atom molecular biology simulations that are designed to run on Nvidia's CUDA-compatible graphics processing units.,1
GridRepublic,"GridRepublic is a BOINC Account Manager. It focuses on creating a clean and simple way to join and interact with BOINC. GridRepublic was started with a mission to raise public awareness and participation in volunteer computing with BOINC. GridRepublic was formed in 2004 by Matthew Blumberg as a mechanism to control the multiple projects from one place. The code for the BOINC software had to be redesigned to allow for the Account Manager system to be implemented.
GridRepublic's website has won numerous awards including being named finalist at the 2007 SXSW Interactive Festival and the 2008 Stockholm Challenge.  GridRepublic has also been the recipients of a Google Grant allowing for advertising through Google.",1
HashClash,"HashClash was a volunteer computing project running on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform to find collisions in the MD5 hash algorithm. It was based at Department of Mathematics and Computer Science at the Eindhoven University of Technology, and Marc Stevens initiated the project as part of his master's degree thesis.
The project ended after Stevens defended his M.Sc. thesis in June 2007.  However SHA1 was added later, and the code repository was ported to git in 2017.The project was used to create a rogue certificate authority certificate in 2009.",1
Help Conquer Cancer,Help Conquer Cancer is a volunteer computing project that runs on the BOINC platform. It is a joint project of the Ontario Cancer Institute and the Hauptman-Woodward Medical Research Institute. It is also the first project under World Community Grid to run with a GPU counterpart.,1
Help Cure Muscular Dystrophy,"Help Cure Muscular Dystrophy is a volunteer computing project that runs on the BOINC platform. 
It is a joint effort of the French muscular dystrophy charity, L'Association française contre les myopathies; and L'Institut de biologie moléculaire et cellulaire (Molecular and Cellular Biology Institute).",1
Helsinki Challenge,"Helsinki Challenge is a science-based competition and idea accelerator which brings together the academic community and society at large to solve the world's grand challenges in cooperation. The competition goal is not only to create new scientific information, but to influence society.Multidisciplinary teams consisting of experts from the academic and artistic communities, the business world, the public and third sectors, media and other actors of the society are welcome to take part in the competition. Participating teams are evaluated by the jury using the following criteria: originality, creativity, impact, focus on solutions and use of science-based methods. The competition prize is 375,000 euros and it is meant for the implementation of the solution.Helsinki Challenge was held for the first time in 2015. In 2017, the competition is organised by the University of Helsinki in collaboration with Aalto University, Hanken School of Economics, University of Eastern Finland, University of Jyväskylä, University of Oulu, University of the Arts Helsinki, University of Turku, University of Vaasa and Åbo Akademi University.",1
Ibercivis,"Ibercivis was a volunteer computing platform which allows internet users to participate in scientific research by donating unused computer cycles to run scientific simulations and other tasks. The original project, which became operational in 2008, was a scientific collaboration between the Portuguese and Spanish governments, but it is open to the general public and scientific community, both within and beyond the Iberian Peninsula. The project's name is a portmanteau of Iberia and the Latin word civis, meaning 'citizen'.
In April 2020, the volunteer computing platform was restarted by the Ibercivis Foundation and the Spanish National Research Council in order to screen existing drugs for antiviral activity against Severe acute respiratory syndrome coronavirus 2, the causative agent of the COVID-19 pandemic.",1
Industry funding of academic research,"Industry funding of academic research in the United States is one of the two major sources of research funding in academia along with government support. Currently, private funding of research accounts for the majority of all research and development funding in the United States as of 2007 overall. Overall, Federal and Industrial sources contribute similar amounts to research, while industry funds the vast majority of development work.While the majority of industry research is performed in-house, a major portion of this private research funding is directed to research in non-profit academic centers. As of 1999, industrial sources accounted for an estimated $2.2 billion of academic research funding in the US. However, there is little governmental oversight or tracking of industry funding on academic science and figures of the scale of industry research are often estimated by self-reporting and surveys which can be somewhat unreliable.
Much of this industry funding of academic research is directed toward applied research. However, by some accounts, industry may even fund up to 40% of basic research in the United States, with Federal funding of basic research falling below 50%, although this figure does not consider where this research is conducted. The role for funding of academic research from industrial sources has received much attention both in a historical and contemporary perspective. The practice has received both extensive political praise and scholarly criticism.",1
International Network of Engineers and Scientists for Global Responsibility,"The International Network of Engineers and Scientists for global responsibility (INES) is an independent non-profit-organization concerned about the impact of science and technology on society. 
INES efforts focus on disarmament and international peace, ethics in science, responsibilities of scientists and the responsible use of science and technology, just and sustainable development.
INES was founded in 1991 in Berlin at the international congress Challenges - Science and Peace in a Rapidly Changing Environment and has become a network of over 200 organisations and individual members.",1
International Science Festival in Gothenburg,The International Science Festival in Gothenburg (Swedish: Vetenskapsfestivalen) is an annual festival in Gothenburg with science activities.,1
Italian Union of Scientists for Disarmament,"The Italian Union of Scientists for Disarmament (Unione Scienziati per il Disarmo in Italian) is an association established in 1982 with the purpose of providing information and analysis of arms control and disarmament. Members of the association believe that this task is part of the social responsibility of scientists.
The issues it addresses include nuclear arms control and disarmament, nuclear proliferation, consequences of nuclear explosions, control of fissile material, developments of military technology, conventional disarmament, chemical and biological disarmament, problems of conflicts and conflict resolution. Members share their views with Italian policy-makers and opinion-makers.
It organizes conferences and meetings, including the biennial Castiglioncello conference, courses and seminars at Italian universities, and courses for high-school teachers.
It promotes the establishment of inter-departmental centers of research affiliated to Italian Universities, and has actively collaborated for many years with the CIRP-UniBa (Centro Interdipartimentale di Ricerche sulla Pace, University of Bari).It collaborates with international organizations of scientists and other Italian institutions, such as Archivio Disarmo (Roma) and Forum per i Problemi della Pace e della Guerra (Firenze). Members of USPID participate in Pugwash and ISODARCO meetings.In 1995 it began a standing collaboration with Landau Network-Centro Volta, in Como. This institution organizes, together with UNESCO and under the sponsorship of the Italian Ministry of Foreign Affairs, conferences and research projects on topics including disarmament, non-proliferation and scientific-technological aspects of international security.",1
The Lattice Project,"The Lattice Project was a volunteer computing project that combined computing resources, Grid middleware, specialized scientific application software and web services into a comprehensive Grid computing system for scientific analysis. It ran the Genetic Algorithm for Rapid Likelihood Inference (GARLI) software to determine the relationships between different genetic samples.A major aspect of the project makes use of the Berkeley Open Infrastructure for Network Computing (BOINC) platform.  The Lattice Project maintained a separate BOINC web site, but the site is dead as of this writing, causing this project to shut down because BOINC depends on this website to get setup information to set this project up on its clients.",1
Leiden Classical,"Leiden Classical was a volunteer computing project run by the Theoretical Chemistry Department of the Leiden Institute of Chemistry at Leiden University.  Leiden Classical used the BOINC system, and enabled scientists or science students to submit their own test simulations of various molecules and atoms in a classical mechanics environment. ClassicalDynamics is a program (and with it a library) completely written in C++. The library is covered by the LGPL license and the main program is covered by the GPL. The project shut down on June 5, 2018.",1
LHC@home,"LHC@home is a volunteer computing project researching particle physics that uses the Berkeley Open Infrastructure for Network Computing (BOINC) platform. The project's computing power is utilized by physicists at CERN in support of the Large Hadron Collider and other experimental particle accelerators.The project is run with the help of over 5,400 active volunteer users contributing more than 10,000 computers processing at a combined 61 teraFLOPS as of March 2023. The project is cross-platform, and runs on a variety of computer hardware configurations.",1
Lincoln's Birthday Committee for Democracy and Intellectual Freedom,"The Lincoln's Birthday Committee for Democracy and Intellectual Freedom (LBCDIF) was an antifascist organization of scientists founded by Franz Boas in 1938 to discredit the theories of race being forwarded by the Nazis in Germany. 
In the 1930s Franz Boas was one of the first scientists to become aware of the immense prestige and influence of scientists in that era. Even at his advanced age Boas wanted to find a way to use the influence of scientists to promote human welfare. At Columbia University he collaborated with Ruth Benedict, Leslie Dunn, Robert Lynd, Walter Rautenstrauch, Harold Urey and other members of the University Federation for Democracy and Intellectual Freedom to find a unifying political position that would bring scientists of all disciplines together on a common front. He decided antifascism was such a position, and based on his collaborations wrote the Manifesto on Freedom in Science. In 1938 the Manifesto was released with 1,284 signatures of prominent scientists, including Roger Adams, Robert Oppenheimer and Albert Einstein (see: Einstein Letter to LBCDIF). Boas used the excitement generated by the Manifesto to launch the LBCDIF.  Twenty-six meetings were organized to uphold the principles of the Manifesto, and the success of these meetings encouraged the organizers to expand the Birthday Committee to an ongoing group called the American Committee for Democracy and Intellectual Freedom (ACDIF).",1
List of Astronomy Outreach Resources in Europe,This is a List of Astronomy Outreach Resources in Europe originally started as an initiative within the framework of the Astronet EU FP7 project.,1
Malaria Control Project,malariacontrol.net was a volunteer computing project to simulate the transmission dynamics and health effects of malaria. It was part of the Africa@home project.,1
March of Progress,"The March of Progress, originally titled The Road to Homo Sapiens, is an illustration that presents 25 million years of human evolution. It was created for the Early Man volume of the Life Nature Library, published in 1965, and drawn by the artist Rudolph Zallinger.
It has been viewed as a picture of the discredited theory, orthogenesis, that evolution is progressive. As such, it has been widely parodied and imitated to create images of progress of other kinds.
The picture of progress in evolution was anticipated by Thomas Henry Huxley's 1863 Evidence as to Man's Place in Nature.",1
Material World (radio programme),"Material World was a weekly science magazine programme on BBC Radio 4 broadcast on a Thursday afternoon. The programme's regular presenter was Quentin Cooper, with contributions from scientists researching areas under discussion in each programme.",1
