title,summary,category
Tulian lake,Tulian Lake is an alpine lake located near Pahalgam in Anantnag district of Jammu and Kashmir India It lies at an altitude of 3684 metres 12087 ft above sea level 16 kilometres 99 mi southwest from Pahalgam and 11 kilometres 68 mi from Baisaran The lake often has chunks of ice floating in it It is surrounded on three sides by mountains that rise to over 4800 metres 15700 ft and that are usually covered with snow It is located in a meadow dotted with pine forests The lake lies in the great Himalayan range  References  ,-1
Simply Equal,Simply Equal is a grassroots coalition that formed to petition the city of Lawrence Kansas to add the words sexual orientation to its Human Relations Ordinance In May 1995 Lawrence passed the Simply Equal Amendment thus becoming the first city in Kansas to prohibit discrimination in housing employment and public accommodations on the basis of sexual orientation Simply Equal was formed in 1991 and was led by the newly organized Freedom Coalition Active supporters were the Lawrence National Organization for Women chapter the American Civil Liberties Union the League of Women Voters the Kansas University Ecumenical Christian Ministries and the Kansas University LesBiGay Services group Lynne Green and Ben Zimmerman were cochairs of Simply Equal Sidenote Lawrence Kansas actually became the second municipality in the state to adopt such legislation Wichita Kansas was the first in the 1970s The Wichita antidiscrimination legislation was repealed in a referendum vote shortly after its installation ,-1
Sean Russell (rugby league),Sean Russell born 27 May 2002 is an Australian professional rugby league footballer who plays as a winger or centre fullback for the Parramatta Eels in the National Rugby League NRL ,-1
List of Swedish men's handball champions,The Swedish mens handball champions Swedish Svenska mstare i handboll fr herrar have been determined by three different competitions From 193132 until 195152 the title was decided by a straight knockout tournament known as Svenska msterskapet the Swedish Championship After 193435 it was played parallel to the highest league Allsvenskan The tournament was contested by the winners of the Distriktsmsterskap Provincial Championships until 194546 After that it was contested by all teams from the top division all Provincial Champions and invited teams from lower leagues From 195253 until 196667 the title of Swedish Champions was awarded to the winners of Allsvenskan Since 196768 the Swedish Champions have been determined by a playoffs competition between the highestplaced teams in the top league Until 200304 all playoff rounds were decided by a series of home and away matches Between 200405 and 201718 the final was played as a single match at a predetermined venue Since 201819 the final is again played as a series The league changed its name to Elitserien in 199091 and to Handbollsligan in 201617 Redbergslid have won the most Swedish Championships with 20 followed by Drott at 11 These two clubs completely dominated Swedish mens handball from 198384 to 200203 winning all titles but one They are followed by Kristianstad at 9 titles and four clubs at 7 titles Heim Hellas Majorna and Svehof Majorna have won the title the most times in a row winning it five times from 1942 to 1946 Vsters IK and AIK are the only teams to have won the championship in its pre1952 knockout format while playing outside the top flight Drott have been runnersup 12 times more than any other team Teams from the Gothenburg area Redbergslid Heim Majorna and Svehof have won 41 of 91 titles Since 1978 clubs from southern and western Gtaland have won 42 of 45 titles the other three being won by Stockholm club Hammarby The current champions are IFK Kristianstad ,-1
Krisko,Kristian Radoslavov Talev Bulgarian    born 11 May 1988 better known by his stage name Krisko Bulgarian  is a Bulgarian recording artist songwriter producer and entrepreneur He is signed to the Bulgarian record label Facing The Sun Records and is also coowner of the label Adamand Records ,-1
Medina Warda Aulia,Medina Warda Aulia born 7 July 1997 in Jakarta is an Indonesian chess player She has held the title of International Master since 2020 and Woman Grandmaster since 2013She qualified for the Womens Chess World Cup 2021 being defeated by Harika Dronavalli in the second round and the Womens Chess World Cup 2023 where she beat Janelle Mae Frayna in the first round and Sarasadat Khademalsharieh in the second round ,0
Gayratjon Hasanov,Gayratjon Hasanov born 12 January 1983 in Qarshi Uzbek SSR Soviet Union is Uzbek footballer who plays as a goalkeeper for Nasaf Qarshi He is a member of Uzbekistan national football team ,0
Michael Carr (composer),Michael Carr born Maurice Alfred Cohen 11 March 1905  16 September 1968 was a British and Irish popular music composer and lyricist best remembered for the song South of the Border Down Mexico Way written with Irishman Jimmy Kennedy for the 1939 film of the same name ,0
Mark E. Robinson,Mark E Robinson is an American attorney and former Massachusetts government official who served as Secretary of Administration and Finance of Massachusetts from 1992 to 1994 ,0
Oneonta Formation,The Oneonta Formation is a geologic formation in New York It preserves fossils dating back to the Devonian period It consists of shale sandstone and conglomerate and is part of the Genesee Group ,0
Avrohom Genachowsky,Avrohom Genachowsky also spelled Avraham Genechovsky or Genichovsky September 1936  October 11 2012 was an Orthodox Jewish rabbi and talmudic scholar He served as dean rosh yeshiva at Yeshivas Tchebin in Jerusalem ,0
Nadège,Nadge is a French feminine given name ,0
Facundo Moyano,Juan Facundo Moyano born 25 December 1984 is an Argentine trade unionist and politician A member of the Party of Culture Education and Labour CET Moyano was a National Deputy for Buenos Aires Province from 2011 to 2021 From 2009 to 2017 Moyano was Secretary General of the Sindicato nico de Trabajadores de los Peajes y Afines SUTPA the toll booth workers union Moyano is the son of Hugo Moyano one of Argentinas most prominent union leaders and former Secretary General of the General Confederation of Labour ,0
W. H. Clark (brewer),William Henry Clark c18151870 was an early settler and brewer in Adelaide in the Colony of South Australia He was the founder of the Halifax Street Brewery around 1844 sold in 1856 and in 1859 was responsible for the building of a brewery at the western end of Hindley Street However he fell into insolvency leaving the state in 1860 to avoid his debtors and the Hindley Street brewery taken over by William Knox Simms later becoming the West End Brewery ,0
Asai (surname),Asai is a Japanese surname which means shallow well Notable people with the surname include Akihiro Asai   born 1975 Japanese race car driver Asai Ch   18561907 Japanese painter Eriko Asai   born 1959 Japanese longdistance runner Hiroshi Asai   born 1978 Japanese arranger musician and composer Isao Asai   born 1942 Japanese ice hockey player Itsuki Asai   born 1971 Japanese baseball player Katsuaki Asai born 1942 highranking teacher of Aikido in Germany Kiyomi Asai   born 1974 Japanese voice actress Makate Asai   born 1959 Japanese writer Asai Ryi   c 16121691 Japanese writer Tetsuhiko Asai   19352006 Shotokan karate master Yasuhiro Asai   born 1983 Japanese lacquer artisan Yoshihiro Asai   born 1966 Japanese professional masked wrestler wrestling under the name Ultimo Dragon Yoshiko Asai   born 1941 Japanese voice actress ,0
Daniel Daperis,Daniel Daperis Greek   is an Australian actor and director He is best known for his acting roles in the television series The Man From Snowy River and the childrens television series Thunderstone Daniel Daperis is the older brother of actor Jared Daperis ,0
Alf Tergel,Alf Henry Tergel 8 August 1935  15 October 2007 was a Swedish church historian ,0
Gordan Golik,Gordan Golik born 4 March 1985 in Varadin is a Croatian professional footballer who plays as a midfielder for Mejimurec ,0
Leixlip Spa,The Leixlip Spa Irish Sp Lim an Bhradin also known as Louisa Bridge Spa is an archaeological and hydrogeological complex at Louisa Bridge Leixlip Ireland situated close to the Royal Canal Ireland It was a popular health spa in the late 18th and early 19th century The site is known to contain a warm mineralised spring and a cold spring originating from different sources The archaeological structures comprise a hexagonal spring well and a Romanesque bath The warm spring was uncovered in 1794 during the construction of the Royal Canal The mineral spring marsh and seepage areas at Louisa Bridge are included in the Rye Water ValleyCarton Special Area of Conservation ,0
Miscibility gap,A miscibility gap is a region in a phase diagram for a mixture of components where the mixture exists as two or more phases  any region of composition of mixtures where the constituents are not completely miscible The IUPAC Gold Book defines miscibility gap as Area within the coexistence curve of an isobaric phase diagram temperature vs composition or an isothermal phase diagram pressure vs compositionA miscibility gap between isostructural phases may be described as the solvus a term also used to describe the boundary on a phase diagram between a miscibility gap and other phasesThermodynamically miscibility gaps indicate a maximum eg of Gibbs energy in the composition range ,1
Cataby Important Bird Area,Cataby Important Bird Area is a 314 ha tract of land lying about 2 km south of the town of Cataby adjacent to the Brand Highway in the Wheatbelt region of Western Australia It has been classified by BirdLife International as an Important Bird Area IBA because it supports up to 24 breeding pairs of shortbilled black cockatoo an endangered species that nests in remnant patches of eucalypt woodland and isolated paddock trees and feeds in native shrublands The area also supports the restrictedrange western corella and a globally significant population of the regent parrot  References  ,-1
2020 Niue National Awards,The 2020 Niue National Awards were the first awards made under the Niue National Awards system to recognise achievement and service by Niueans They were announced in October 2022The recipients of honours are displayed here as they were styled before their new honour ,-1
Hüseyin Aygün,Hseyin Aygn born 20 October 1970 Tunceli is a Turkish lawyer and politician of Alevi Zaza origin He is a former Member of the Grand National Assembly of Turkey for the Republican Peoples Party CHP and a founder of the Tunceli Bar Association ,-1
Ray Branighan,Ray Branighan born 5 December 1947 is an Australian former professional rugby league footballer a star wing and Centre of the 1970s for the South Sydney Rabbitohs the ManlyWarringah Sea Eagles as well as the New South Wales state and Australian national representative sides ,-1
Lake Whirirau,Lake Whirirau is a lake in the Northland Region of New Zealand ,-1
Fax (surname),Fax is a surname Notable people with the surname include Elton Fax 19091993 American illustrator cartoonist and author Jesslyn Fax 18931975 American actress Mark Fax 19111974 American composer Matt Fax born 1996 French electronic musician and record producer ,-1
2007 European Athletics U23 Championships – Women's 100 metres hurdles,The womens 100 metres hurdles event at the 2007 European Athletics U23 Championships was held in Debrecen Hungary at Gyulai Istvn Atltikai Stadion on 13 and 14 July ,-1
Geoffrey Chang,Geoffrey Chang is a professor at the University of California San Diegos Skaggs School of Pharmacy and Pharmaceutical Sciences and Department of Pharmacology School of Medicine His laboratory focuses on the structural biology of integral membrane proteins particularly exploring Xray crystallography techniques for solving the tertiary structures of membrane proteins that are notoriously resistant to crystallization The laboratory has specialized in structures of multidrug resistance transporter proteins in bacteria In 2001 while a faculty member of The Scripps Research Institute Chang was awarded a Beckman Young Investigators Award designed to support researchers early in their academic careers for his work on the structural biology of multidrug resistance Chang announced a move from Scripps to neighboring UC San Diego in 2012In 2007 Chang and coauthors retracted five previously published papers describing the structures of three multidrug transporter proteins after another research group published a widely differing structure which led to the discovery of a critical bug in the Chang groups custom software tools Since that time however Chang has published other papers in the field of structural biology and has been awarded a EUREKA grant for exceptionally innovative research projects that could have an extraordinarily significant impact on many areas of science from the National Institutes of Health ,-1
United Nations Public Service Awards,The United Nations UN Public Service Award is the most prestigious international recognition of excellence in public service It rewards the creative achievements and contributions of public service institutions that lead to a more effective and responsive public administration in countries worldwide Through an annual competition the UN Public Service Awards promotes the role professionalism and visibility of public service ,0
Aemene amnaea,Aemene amnaea is a moth of the family Erebidae It was described by Charles Swinhoe in 1894 It is found in Assam India  References  ,0
Netta Rheinberg,Netta Rheinberg MBE 24 October 1911  18 June 2006 was an English cricketer journalist and administrator She appeared in one Test match for England in 1949 against Australia She played domestic cricket for MiddlesexHer single Test match came on Englands tour of Australia in 194849 She was the teams manager and had to play in the match because of injuries to other players She made a pair becoming the first woman to do so on Test debutRheinberg was most notable in the womens game as an administrator and journalist Rachael HeyhoeFlint the former England captain said of her work as an administrator Netta was an action girl We had very few people then and she galvanised activity partly just by having a great personality and a sense of humour For a north London Jew playing cricket for England and being one of the games most important administrators is about as welltrodden a career path as prime minister or baconbuttie salesman wrote Rob Steen shortly after her death aged 94 in 2006 That Rheinberg happened to be a woman made her accomplishments all the more admirableShe was secretary of the Womens Cricket Association in 1945 and from 1948 to 1958 She was also membership secretary and vicechairman of the Cricket Society She edited the magazine Womens Cricket reported on womens cricket for Wisden for more than thirty years and wrote a regular column for The Cricketer With HeyhoeFlint as coauthor Rheinberg wrote a history of the womens gameIn 1999 she was one of the first ten women to be awarded honorary membership of MCC ,0
Anne Oldeland,Anne Oldeland died 21 February 1602 was a Danish noble and landowner She is known for the feud she had with the local representatives of the Danish church on Funen in 15611567 She was born to Hans Oldeland and Sophie Munk and married the noble landowner Hans Norby til Uggerslevgrd d 1565 From 1561 the couple was involved in a famous conflict with the Danish church through its local representative three parish vicars in succession of the Ugglerslev parish They actively tried to stop the sermons by having the church doors locked to the vicar The legal process was represented by her spouse but she was the dominant party in the conflict In 1567 she was forced to submit to the church ,0
Payette City Hall and Courthouse,The Payette City Hall and Courthouse at 3rd Ave and 8th St in Payette Idaho was built in 1912 It was listed on the National Register of Historic Places in 1979It is a twostory brick building upon a raised foundation built in Classical Revival style It is three bays wide with bays separated by terra cotta pilasters and four bays deep Its entry bay rises to a pedimented cornice The builder was J Ronald WalkerIt was deemed architecturally significant as a good local example of the NeoClassical Revival style in Payette Although of modest scale and ornament it nevertheless is one of the towns more outstanding structures and the major one in the downtown area to display Classical details and proportions Situated at the end of Third Avenue Payettes main street it dominates the streetscape in the north end and for many years served as a symbol of civic authority Further contributing to the buildings significance is its having functioned for a number of years as a seat of local government Not only did it house the city government but after the formation of Payette County in 1917 it also contained the county governmentThe city offices moved out in the 1950s and the county offices moved out in the 1970s  References  ,0
Bronson (album),Bronson stylised in all caps is the eponymous debut studio album by Bronson the collaborative project of American DJs Odesza and Australian producer Golden Features It was released on 7 August 2020 delayed from an initial 17 July release The album debuted and peaked at number 22 on the ARIA Albums Chart in Australia on 17 August 2020 and at number 5 on the US Top DanceElectronic Albums Chart on 22 August 2020 ,0
Gazo (rapper),Ibrahima Diakit French pronunciation ibaima djakite born August 5 1994 better known by his stage name Gazo pronounced azo is a French rapper of Guinean descentGazo is from a suburb of Paris called SaintDenis It is often named in many of his songs and also often identified as the 93 based on the French INSEE code for the region In his youth he got involved with a lot of troublemaking His parents kicked him out by age 12 and by age 15 he left school deciding to embark on his rap career along with some of his friends in SaintDenis eventually leading him to join the Gangster Disciple Nation GDN around the age of 16 with his friends Putting a number of songs on YouTube he got the attention of Gims who offered a joint track to him on his own album Le Flau Gazo released his own mixtape Drill FR on 26 February 2021 It reached number 1 on the French Albums Chart with the single HaineSex reaching number 2 on the French Single Chart Gazo has had much success in his rap career since HaineSex has since received diamond certification He is commonly known as The Prince of French Drill Per one of his producers Flem KGB as well as a general consensus among fans of French rap Gazo created an identifiable brand for French drill music taking influence from UK and US drill yet unique on its own ,0
Tierce (unit),The tierce also terse is both an archaic volume unit of measure of goods and the name of the cask of that size The most common definitions are either onethird of a pipe or fortytwo gallons In the petroleum industry  a barrel of oil is defined as 42 US gallons ,0
Lisa Downing,Lisa Downing  born 1974 is an author and academic She is Professor of French Discourses of Sexuality at the University of BirminghamDownings work is innovative in its dialogue between the critical humanities and the sciences especially psychiatry Her published work focuses principally on theories of sexual perversion and queer theory the work of Michel Foucault ethical philosophy and film and most recently the cultural meanings of criminality ,-1
List of songs recorded by Zabranjeno pušenje,A complete list of known songs written and recorded by the Zabranjeno Puenje that have been released or have gone unreleased ,-1
2010 St Helens RLFC season,St Helens entered their 136th year in rugby in 2010 their 115th in rugby league and are in contention for the Super League in its 15th Season and the 109th Challenge Cup ,-1
Night of Blood,Night of Blood is a fantasy novel by Richard A Knaak set in the world of Dragonlance and based on the Dungeons  Dragons roleplaying game It is the first novel in the Minotaur Wars series It was published in paperback in June 2003 ,-1
Al Haliq Mosque,The Al Haliq Mosque Arabic   is a mosque in Tunis Tunisia located in the Sidi El Bechir arrondissement ,-1
Mount Peterson,Mount Peterson 7440S 7659W is a small mountain rising above the ice surface 22 nautical miles 41 km northwest of Mount Rex Palmer Land The feature lies within a group of nunataks first sighted and photographed on November 23 1935 by Lincoln Ellsworth The area was explored by the Ronne Antarctic Research Expedition RARE 194748 under Finn Ronne who named the mountain for HarriesClichy Peterson physicist with the expedition ,-1
When Empty Hearts Are Filled,When Empty Hearts Are Filled is a 1915 American silent short drama film directed by Archer MacMackin starring Louise Lester Vivian Rich and Harry von Meter ,-1
"Ashford, County Wicklow",Ashford Irish th na Fuinseoige historically known as Ballymacahara Irish Baile Mhic Aodha Charraigh is a village in County Wicklow Ireland It lies on the River Vartry and at the meeting of the R772 R763 and R764 regional roads The village was formerly on the main DublinWexford route the N11 but was bypassed by the new N11 in 2004 later part of the M11 motorway As of the 2022 census the village had a population of 1892 people ,-1
Plodoyagodnaya,Plodoyagodnaya Russian  Bashkir  Yemeyelk is a rural locality a village in Bakalinsky Selsoviet Bakalinsky District Bashkortostan Russia The population was 189 as of 2010 There are 4 streets ,-1
2012 PBA D-League Aspirants' Cup,The 2012 PBA DLeague Aspirants Cup is the first of the two conferences of the 201213 PBA Developmental League season There are three new teams participating the league JRU Heavy Bombers Fruitas Shakers and Informatics Icons ,-1
"Mehrababad, Kohgiluyeh and Boyer-Ahmad",Mehrababad Persian   also Romanized as Mehrbbd is a village in Sarrude Jonubi Rural District in the Central District of BoyerAhmad County Kohgiluyeh and BoyerAhmad Province Iran At the 2006 census its population was 35 in 8 families  References  ,-1
Fritz-Otto Busch,FritzOtto Busch 30 December 1890 in Lindenthal Cologne  5 July 1971 in Limpsfield Surrey was a German naval officer in the Imperial German Navy the Reichsmarine and the Kriegsmarine as well as a translator and a maritime and naval writer He was a committed Nazi and had an influential role in the Nazification of the German PEN from 1933 onwards He used the pseudonyms Peter Cornelissen and Wilhelm Wolfslast ,-1
FAM114A1,Protein FAM114A1 also known as nervous system overexpressed protein 20 NOXP20 is a protein that in humans is encoded by the FAM114A1 gene Orthologs of FAM114A1 can be found in organisms as taxonomically distant from Homo sapiens as Drosophila However as expected human FAM114A is more like that of primates than any other orthologs FAM114A1 has one paralog FAM114A2 which also encodes a protein of unknown function ,-1
Yu Yongfu,Yu Yongfu Chinese  pinyin Y Yngf born 18 August 1976 is a Chinese entrepreneur and chief executive of UCWeb Inc a Chinese mobile Internet and software service best known for its popular UC Browser Born in Inner Mongolia China Yu later moved with his parents to Tianjin where he attended Nankai University and graduated with a bachelors degree in Business Management In early 2001 he joined the venture capital firm Legend Capital as founding employee and worked his way up to vice president He joined UCWeb in 2006 as chief executive officer During his tenure the company has expanded from 6 employees and a single product to about 3000 employees and diversified product offeringsYu is also the president of Alibaba UC mobile business group an entity incorporated after UCWeb was fully acquired by Alibaba Group in June 2014 in the largest Chinese internet MA deal  References  ,-1
Pseudmelisa rubrosignata,Pseudmelisa rubrosignata is a moth in the family Erebidae It was described by Sergius G Kiriakoff in 1957 It is found in Malawi and Tanzania ,-1
"Siehe zu, daß deine Gottesfurcht nicht Heuchelei sei, BWV 179",Johann Sebastian Bach composed the church cantata Siehe zu da deine Gottesfurcht nicht Heuchelei sei See to it that your fear of God be not hypocrisy BWV 179 in Leipzig for the eleventh Sunday after Trinity and first performed it on 8 August 1723 ,-1
Aqu Suntu,Aqu Suntu Quechua aqu sand suntu heap pile sand heap Hispanicized spelling Ajo Sunto is a 5243metrehigh 17201 ft mountain in the Wansu mountain range in the Andes of Peru It is located in the Arequipa Region La Unin Province in the central part of the Huaynacotas District Aqu Suntu lies southwest of Qarwa Urqu  References  ,-1
Prassa,Prassa also Prassas is the archaeological site of an ancient Minoan settlement on Crete ,-1
Aksay customs outpost,The Aksay customs outpost is an earthen fortification construction situated in the Aksay Rostov region of Russia It is located on the territory of the former Don Noble estate at the mouth of Small Log Beam The Czars outpost was originally built on this territory followed by a customs post Erected in the second half of the 18th century the building is part of the Dmitryi Rostovskiy fortress complex maintained by the militaryhistorical Museum of Aksay ,-1
Robbie Simpson (rugby league),Robbie Simpson is an Australian former professional rugby league footballer who played in the 1990s and 2000s He played for St George and the unified St George Illawarra Dragons in the NRL and in the Super League he played for London Broncos as a secondrow forward ,-1
European Consumer Centres Network,The European Consumer Centres Network ECCNet is an EUwide network There is a national contact point called European Consumer Centre ECC in all 27 EU Member States as well as in Iceland and Norway ECCs provide consumers with information about the opportunities and risks of the European Single Market and also regarding crossborder consumer topics such as travel various services and the purchase of goods and services The ECCNet is staffed by legal experts who assist consumers free of charge to solve any dispute that may arise with enterprises based in another EU country Norway or Iceland The ECCs are cofinanced by the European Commission and national governments aiming to protect consumer rights and ensure that every EU citizen may take full advantage of the European Single Market Depending on the formal structure some ECCs are hosted by nongovernmental organizations NGOs governmental bodies or independent organizations ,-1
"Hrvaćani, Kotor Varoš",Hrvaani Serbian Cyrillic  is a village in the Kotor Varo municipality Republika Srpska entity Bosnia and Herzegovina The center of the settlement is at an altitude of 470 m Along the village in the direction northeastsouthwest flows the Hrvaanska river a right tributary of the Vrbanja river Its mouth is below the village Dabovci According to 2013 preliminary data of the first postwar census 429 inhabitants were registered ,-1
Metal Female Voices Fest,Metal Female Voices Fest was a heavy metal music festival dedicated to female vocalists held annually in the Oktoberhallen in Wieze Belgium from 2003 to 2016 It was organized by the Metal Organisation which later changed into 2 Wild 4 agency The festival enables smaller and unknown bands within the female fronted genre to perform on a big stage beside bigger and more famous bands Over the years they gave away special awards or organized a warmup which allowed bands to compete to perform on the festival for the next year On 13 February 2017 it was announced that the Metal Female Voices Fest is put on indefinite hold On 10 December 2018 it has been confirmed that a Japanese edition of MFVF will take place in Osaka and Tokyo in April 2019 In 2020 the official website of the Metal Female Voices Fest went dead ,-1
Ready or Not (R.I.O. song),Ready or Not is a song by German dance band RIO featuring vocals from Pop RB and HipHop singer UJean The song was released in Germany as a digital download on 10 May 2013 The song has charted in Austria Germany and Switzerland The song was written by Yann Peifer Manuel Reuter and Andres Ballinas ,-1
Gustave Clément Nyoumba,Gustave Clment Nyoumba born 24 June 1974 also known as Gustavo Clemente is a So Tom and Prncipebased Cameroonian professional football manager currently managing So Tom and Prncipe ,-1
Richie Ranno,Richie Ranno born January 21 1950 in Bronx New York is an American musician most famous as a member of Starz ,-1
Adi Vinayaka,Adi Vinayaka Sanskrit   IAST di Vinyaka also known as Nara Mukha Vinayaka is a form of the Hindu deity Ganesha Vinayaka which portrays Ganesha with a human head prior to his decapitation by his father Shiva This form of Ganesha is rarely worshipped with only a few dedicated shrines such as the one near Koothanur Tamil Nadu ,-1
Georgios Jakobides,Georgios Jakobides   11 January 1853  13 December 1932 was a painter and one of the main representatives of the Greek artistic movement of the Munich School He founded and was the first curator of the National Gallery of Greece in Athens ,-1
Pseudaneitea dendyi,Pseudaneitea dendyi is a species of airbreathing land slug a terrestrial gastropod mollusc in the family Athoracophoridae the leafveined slugs ,-1
Wall Street Rag,Wall Street Rag is a ragtime composition by Scott Joplin first published in 1909 As indicated by the title the theme is based on Wall Street following the events surrounding the Panic of 1907 This is represented in the musical structure along with its corresponding annotations ,-1
Marguerite Roberts,Marguerite Roberts September 21 1905  February 17 1989 was an American screenwriter one of the highest paid in the 1930s After she and her husband John Sanford refused to testify in 1951 before the House UnAmerican Activities Committee she was blacklisted for nine years and unable to get work in Hollywood She was hired again in 1962 by Columbia Pictures ,-1
Hisham al-Hashimi,Hisham alHashimi Arabic   9 May 1973  6 July 2020 was an Iraqi historian and researcher in security and strategic affairs and extremist groups and a specialist on the subject of the Islamic state and its supporters He also was an advisor to the Iraqi government on counterterrorism ,-1
Jákup Johansen,Jkup Johansen born 27 April 1993 is a Faroese professional footballer who plays as a forward for Vkingur ,-1
"Mehdiabad, Damghan",Mehdiabad Persian   also Romanized as Mehdbd is a village in Howmeh Rural District in the Central District of Damghan County Semnan Province Iran At the 2006 census its population was 90 in 20 families  References  ,-1
C22H30N2O2,The molecular formula C22H30N2O2 molar mass 354485 gmol may refer to A796260 Eprozinol Martinostat ,-1
Tirroan,Tirroan is a rural town and a locality in the Bundaberg Region Queensland Australia In the 2021 census the locality of Tirroan had a population of 150 people ,-1
KVOL,KVOL 1330 AM is a radio station licensed to Lafayette Louisiana United States It serves the Acadiana area KVOL was the first radio station in Lafayette when they signed onair on May 18 1935 It is owned and operated by Delta Media Corporation KVOLs studios are located on Evangeline Thruway in Carencro and its transmitter is located in west Lafayette On March 7 2022 KVOL changed their format from oldies to soft oldies branded as 9771330 MeTV FM ,-1
